
0.7 coefvel 62 alphaweight %79.21

Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 162
Goal Reached!  Total distance traveled is: 21.9524 || Avg execution time per cycle is: 0.000639405
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 163
Goal Reached!  Total distance traveled is: 21.862 || Avg execution time per cycle is: 0.000581481
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 164
Goal Reached!  Total distance traveled is: 22.1836 || Avg execution time per cycle is: 0.000632107
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 165
Goal Reached!  Total distance traveled is: 22.0467 || Avg execution time per cycle is: 0.00065233
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 166
Goal Reached!  Total distance traveled is: 22.107 || Avg execution time per cycle is: 0.000608974
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 167
Goal Reached!  Total distance traveled is: 22.0408 || Avg execution time per cycle is: 0.000638225
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 168
Collision occured!  ||  Avg execution time per cycle is: 0.000623077
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 169
Goal Reached!  Total distance traveled is: 21.763 || Avg execution time per cycle is: 0.0006
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 170
Goal Reached!  Total distance traveled is: 21.9437 || Avg execution time per cycle is: 0.000587413
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 171
Goal Reached!  Total distance traveled is: 21.9825 || Avg execution time per cycle is: 0.000616162
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 172
Collision occured!  ||  Avg execution time per cycle is: 0.000666667
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 173
Collision occured!  ||  Avg execution time per cycle is: 0.000789474
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 174
Goal Reached!  Total distance traveled is: 21.9951 || Avg execution time per cycle is: 0.000654804
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 175
Collision occured!  ||  Avg execution time per cycle is: 0.000741071
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 176
Goal Reached!  Total distance traveled is: 22.0149 || Avg execution time per cycle is: 0.000672535
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 177
Goal Reached!  Total distance traveled is: 22.0122 || Avg execution time per cycle is: 0.000607018
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 178
Goal Reached!  Total distance traveled is: 21.9429 || Avg execution time per cycle is: 0.000592058
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 179
Collision occured!  ||  Avg execution time per cycle is: 0.000906667
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 180
Goal Reached!  Total distance traveled is: 21.8756 || Avg execution time per cycle is: 0.00064311
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 181
Collision occured!  ||  Avg execution time per cycle is: 0.000696629
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 182
Goal Reached!  Total distance traveled is: 22.2962 || Avg execution time per cycle is: 0.00062776
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 183
Goal Reached!  Total distance traveled is: 21.8097 || Avg execution time per cycle is: 0.00067803
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 184
Goal Reached!  Total distance traveled is: 22.3144 || Avg execution time per cycle is: 0.000639241
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 185
Goal Reached!  Total distance traveled is: 21.9502 || Avg execution time per cycle is: 0.000633962
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 186
Goal Reached!  Total distance traveled is: 21.8499 || Avg execution time per cycle is: 0.000648855
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 187
Goal Reached!  Total distance traveled is: 21.8716 || Avg execution time per cycle is: 0.000831461
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 188
Goal Reached!  Total distance traveled is: 22.0756 || Avg execution time per cycle is: 0.00122115
